sampleId,stratum,currentClassification,evidence,college,title,url,policySource,policyVerifiedAt,medicalLike,manualLabel,manualEvidenceUrl,reviewer,reviewNotes
AT-086,variable-track,variable,variable-language,"University of Nevada, Reno","Lecturer II / Teaching Assistant Professor / Assistant Professor, Statewide Natural Resources Specialist, Extension - Winnemucca, Nevada",https://nshe.wd1.myworkdayjobs.com/UNR-external/job/Extension-Humboldt---University-of-Nevada-Reno/Lecturer-II---Teaching-Assistant-Professor---Assistant-Professor--Statewide-Natural-Resources-Specialist--Extension---Winnemucca--Nevada_R0151168-1,,,false,,,,
AT-087,variable-track,variable,variable-language,Ohio State University,"Physician OR Clinical Researcher - Internal Medicine Dept, Palliative Care Division (Open Rank/Track Faculty)",https://osu.wd1.myworkdayjobs.com/OSUCareers/job/College-of-MedicineOffice-of-Health-Sciences/Physician-OR-Clinical-Researcher---Internal-Medicine-Dept--Palliative-Care-Division--Open-Rank-Track-Faculty-_R135642-1,,,true,,,,
AT-088,variable-track,variable,variable-language,Stanford University,"Physician-Scientist or Scientist Faculty Scholars, Center for Pediatric IBD and Celiac Disease",https://facultypositions.stanford.edu/jobs/physician-scientist-or-scientist-faculty-scholars-center-for-pediatric-ibd-and-celiac-disease-stanford-university-california-united-states,,,true,,,,
AT-089,variable-track,variable,variable-language,Ohio State University,"Physician - Department of Radiology, Abdominal & Pelvic Imaging (Open Rank/Track Faculty)",https://osu.wd1.myworkdayjobs.com/OSUCareers/job/College-of-MedicineOffice-of-Health-Sciences/Physician---Radiology--Abdominal---Pelvic-Imaging--Open-Rank-Track-Faculty-_R101157,,,true,,,,
AT-090,variable-track,variable,variable-language,Des Moines University-Osteopathic Medical Center,Open Rank Professor - Physiology and Pharmacology,https://careers.dmu.edu/en-us/job/493006/open-rank-professor-physiology-and-pharmacology,,,true,,,,
AT-091,variable-track,variable,variable-language,University of Chicago,"AI-Enabled Biology and Medicine - A Division-wide, Open-rank Faculty Search #BSD043",https://academicjobs.uchicago.edu/positions/188858,,,true,,,,
AT-092,variable-track,variable,variable-language,Ohio State University,"Physician – Department of Otolaryngology, Division Director, Otologist/Neurotologist (Open Rank/Track Faculty)",https://osu.wd1.myworkdayjobs.com/OSUCareers/job/College-of-MedicineOffice-of-Health-Sciences/Physician---Department-of-Otolaryngology--Division-Director--Otologist-Neurotologist---Open-Rank-Track-Faculty-_R154274-1,,,true,,,,
AT-093,variable-track,variable,variable-language,Texas Christian University,Assistant/Associate Professor or Assistant/Associate Professor of Professional Practice - Occupational Therapy - of Nursing & Health Sciences,https://jobs.tcu.edu/jobs/assistant-associate-professor-or-assistant-associate-professor-of-professional-practice-occupational-therapy-tcu-main-campus-texas-united-states-cd6dc3bf-6d7b-4315-b6d0-d42763b2be27,,,true,,,,
AT-094,variable-track,variable,variable-language,University of Miami,Assistant/Associate Professor,https://umiami.wd1.myworkdayjobs.com/UMFaculty/job/Miami-FL/Assistant-Associate-Professor_R100099998,,,false,,,,
AT-095,variable-track,variable,variable-language,Ohio State University,"Physician – Department of Anesthesiology, Critical Care/General Anesthesiologist (Open Rank/Track Faculty)",https://osu.wd1.myworkdayjobs.com/OSUCareers/job/College-of-MedicineOffice-of-Health-Sciences/Physician---Department-of-Anesthesiology--Critical-Care-General-Anesthesiologist--Open-Rank-Track-Faculty-_R107499-1,,,true,,,,
AT-096,variable-track,variable,variable-language,Ohio State University,Open Faculty Search- Small Animal Neurology and Neurosurgery,https://osu.wd1.myworkdayjobs.com/OSUCareers/job/Columbus-Campus/Open-Faculty-Search--Small-Animal-Neurology-and-Neurosurgery_R94679-1,,,true,,,,
AT-097,variable-track,variable,variable-language,Alabama A & M University,Assistant / Associate Professor for Human Development and Family Studies,https://www.schooljobs.com/careers/aamu/jobs/4768737/assistant-associate-professor-for-human-development-and-family-studies,,,false,,,,
AT-098,variable-track,variable,variable-language,University of Nebraska Medical Center,Neurotologist / Faculty Rank DOQ,https://unmc.peopleadmin.com/postings/94947,,,true,,,,
AT-099,variable-track,variable,variable-language,Ohio State University,"Physician - Family and Community Health, Family Medicine Physician (Open Rank/Track Faculty)",https://osu.wd1.myworkdayjobs.com/OSUCareers/job/College-of-MedicineOffice-of-Health-Sciences/Physician---Family-and-Community-Health--Family-Medicine-Physician--Open-Rank-Track-Faculty-_R159466-1,,,true,,,,
AT-100,variable-track,variable,variable-language,University of Nebraska Medical Center,Gyn Oncology Physician Faculty - Academic Rank/DOQ,https://unmc.peopleadmin.com/postings/94796,,,true,,,,
AT-101,unclassified-medical,unclassified,none,Harvard University,"Chair, Department of Restorative Dentistry and Biomaterials Sciences — School of Dental Medicine",https://academicpositions.harvard.edu/postings/16751,,,true,,,,
AT-102,unclassified-medical,unclassified,none,Antelope Valley Community College District,Registered Nursing Instructor -Readvertised,https://www.communitycollegecareerconnect.com/jobs/cmud3jpyz000v01lg2ucacwf2,,,true,,,,
AT-103,unclassified-medical,unclassified,none,University of Vermont,"Chair, Department of Pathology and Laboratory Medicine",https://www.uvmjobs.com/postings/86159,,,true,,,,
AT-104,unclassified-medical,unclassified,none,Medical College of Wisconsin,"Pediatric Hematopathology Faculty, Assistant or Associate Professor",https://mcw.wd503.myworkdayjobs.com/ExternalCareers/job/Milwaukee-WI/XMLNAME--36399--Pediatric-Hematopathology-Faculty_JR100337,,,true,,,,
AT-105,unclassified-medical,unclassified,none,University of North Texas Health Science Center,Assistant/Associate Professor (Open Rank) - Internal Medicine - HSC-UNT System College of Pharmacy,https://careers.untsystem.edu/jobs/assistant-associate-professor-open-rank-internal-medicine-fort-worth-texas-united-states,,,true,,,,
AT-106,unclassified-medical,unclassified,none,Medical College of Wisconsin,Associate Professor - Data Science Institute,https://mcw.wd503.myworkdayjobs.com/ExternalCareers/job/Milwaukee-WI/Associate-Professor---Data-Science-Institute_JR101442,,,true,,,,
AT-107,unclassified-medical,unclassified,none,Texas Tech University Health Sciences Center,"Asst/Assoc/Professor, Dept of Neurology - Neurologist",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25898&siteid=5281&PageType=JobDetails&jobid=923575,,,true,,,,
AT-108,unclassified-medical,unclassified,none,Nova Southeastern University,"Faculty (Rank TBD), Nursing - 994285",https://nsucareers.nova.edu/jobs/faculty-rank-tbd-nursing-994285-miami-florida-united-states,,,true,,,,
AT-109,unclassified-medical,unclassified,none,University of Texas Southwestern Medical Center,Instructor - Health Care Sciences,https://jobs.utsouthwestern.edu/job/23903674/instructor-health-care-sciences-dallas-tx,,,true,,,,
AT-110,unclassified-medical,unclassified,none,Medical College of Wisconsin,Pediatric Cardiac Anesthesiologist Faculty - Open Rank - Milwaukee Campus,https://mcw.wd503.myworkdayjobs.com/ExternalCareers/job/Milwaukee-WI/Pediatric-Cardiac-Anesthesiologist-Faculty---Open-Rank----Milwaukee-Campus_JR103466,,,true,,,,
AT-111,unclassified-medical,unclassified,none,Nova Southeastern University,Faculty (Rank TBD) – Pharmacy Practice - 999005,https://nsucareers.nova.edu/jobs/faculty-rank-tbd-pharmacy-practice-999005-fort-lauderdale-davie-florida-united-states,,,true,,,,
AT-112,unclassified-medical,unclassified,none,Wayne State University,"Faculty, Rank To Be Determined, Ryan White Program - Department of Internal Medicine",https://waynetalent.csod.com/ux/ats/careersite/2/home/requisition/3523?c=waynetalent,,,true,,,,
AT-113,unclassified-medical,unclassified,none,Medical College of Wisconsin,Pediatric Dermatology Faculty - Open Rank,https://mcw.wd503.myworkdayjobs.com/ExternalCareers/job/Milwaukee-WI/Pediatric-Dermatology-Faculty---Open-Rank_JR103724,,,true,,,,
AT-114,unclassified-medical,unclassified,none,Oklahoma State University-Oklahoma City,Nursing Instructor-210627,https://jobs.okstate.edu/jobs/nursing-instructor-210627-oklahoma-city-oklahoma-united-states,,,true,,,,
AT-115,unclassified-medical,unclassified,none,Medical College of Wisconsin,"Pediatric Gastroenterology, Hepatology and Nutrition - Southeast WI - Faculty",https://mcw.wd503.myworkdayjobs.com/ExternalCareers/job/Milwaukee-WI/Pediatric-Gastroenterology--Hepatology-and-Nutrition---Southeast-WI---Faculty_JR102866,,,true,,,,
AT-116,unclassified-medical,unclassified,none,The University of Texas Health Science Center at San Antonio,Open Rank MIMG Faculty,https://uthscsa.referrals.selectminds.com/faculty/jobs/open-rank-mimg-faculty-13156,,,true,,,,
AT-117,unclassified-medical,unclassified,none,Calbright College,"Department Chair, Health Science Programs",https://www.communitycollegecareerconnect.com/jobs/cmtxlfwmh004p01l6ahp6xnt2,,,true,,,,
AT-118,unclassified-medical,unclassified,none,Columbia University in the City of New York,All Ranks - Assistant/Associate Professor of Radiology (Interventional Radiology ),https://apply.interfolio.com/182524,,,true,,,,
AT-119,unclassified-medical,unclassified,none,University of North Texas Health Science Center,Assistant/Associate Professor - HSC-CBTS-Office of the Dean,https://careers.untsystem.edu/jobs/assistant-associate-professor-fort-worth-texas-united-states-406d0f5f-2cb5-47b2-a6a2-e874251aff02,,,true,,,,
AT-120,unclassified-medical,unclassified,none,Meharry Medical College,Assistant Professor,https://meharrymedicalcollege.wd12.myworkdayjobs.com/external/job/Main-Campus/Assistant-Professor_JR101667,,,true,,,,
AT-121,unclassified-medical,unclassified,none,Joseph F McCloskey School of Nursing,Nurse Instructor,https://www.lvhn.org/job/nurse-instructor,,,true,,,,
AT-122,unclassified-medical,unclassified,none,Medical College of Wisconsin,Assistant Professor - Institute for Health & Humanity,https://mcw.wd503.myworkdayjobs.com/ExternalCareers/job/Milwaukee-WI/Assistant-Professor---Institute-for-Health---Humanity_JR103251,,,true,,,,
AT-123,unclassified-medical,unclassified,none,The University of Texas Health Science Center at San Antonio,Associate Professor-Pharmacology,https://uthscsa.referrals.selectminds.com/faculty/jobs/associate-professor-pharmacology-13155,,,true,,,,
AT-124,unclassified-medical,unclassified,none,The University of Texas Medical Branch at Galveston,Assistant Professor - Otolaryngology,https://applyjobs.utmb.edu/jobs/assistant-professor-otolaryngology-33578,,,true,,,,
AT-125,unclassified-medical,unclassified,none,University of Rochester,Faculty Position in Pediatrics (Allergy & Immunology),https://apply.interfolio.com/155533,,,true,,,,
AT-126,unclassified-medical,unclassified,none,Virginia Commonwealth University,"Assistant Professor, School of Medicine, Neurosurgery",https://vcujobs.com/jobs/assistant-professor-school-of-medicine-neurosurgery-f80200-mcv-main-campus-virginia-united-states,,,true,,,,
AT-127,unclassified-medical,unclassified,none,Chaminade University of Honolulu,Assistant Professor of Nursing,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=052b3ffb-78d8-40ac-bd43-f6ee902354e2&ccId=2543893806_3653&jobId=9206313953146_1&lang=en_US&source=CC2,,,true,,,,
AT-128,unclassified-medical,unclassified,none,Des Moines University-Osteopathic Medical Center,Department Chair and Program Director - Doctor of Psychology in Clinical Psychology,https://careers.dmu.edu/en-us/job/492987/department-chair-and-program-director-doctor-of-psychology-in-clinical-psychology,,,true,,,,
AT-129,unclassified-medical,unclassified,none,Chatham University,Assistant Professor of Nursing,https://chatham.wd12.myworkdayjobs.com/ChathamUniversity/job/Pittsburgh-PA/Assistant-Professor-of-Nursing_JR00000944,,,true,,,,
AT-130,unclassified-medical,unclassified,none,Calvin University,"Speech Pathology and Audiology Faculty, Full-time",https://calvin.wd5.myworkdayjobs.com/CalvinUniversityCareers/job/Grand-Rapids-Campus/Speech-Pathology-and-Audiology-Faculty--Full-time_R-4680-1,,,true,,,,
AT-131,unclassified-medical,unclassified,none,George C Wallace State Community College-Selma,Health Science Instructor (MSN) FY 26-REVISED,https://www.schooljobs.com/careers/accs/wallaceselma/jobs/5384016/health-science-instructor-msn-fy-26-revised,,,true,,,,
AT-132,unclassified-medical,unclassified,none,Columbia University in the City of New York,Assistant/Associate Professor of Psychiatry - Senior Medical Director,https://apply.interfolio.com/188705,,,true,,,,
AT-133,unclassified-medical,unclassified,none,University of Toledo,"Assistant, Associate, or Full Professor - Anesthesiologist, Cardiac",https://careers.utoledo.edu/jobs/assistant-associate-or-full-professor-anesthesiologist-cardiac-health-science-campus-college-toledo-oh-ohio-united-states,,,true,,,,
AT-134,unclassified-medical,unclassified,none,The University of Texas Health Science Center at Houston,"Assistant Professor, Urology (LBJ General Hospital) - Surgery, McGovern Medical School",https://careers.uth.tmc.edu/us/en/job/2500028Z/Assistant-Professor-Urology-LBJ-General-Hospital-Surgery-McGovern-Medical-School,,,true,,,,
AT-135,unclassified-medical,unclassified,none,Medical College of Wisconsin,Pediatric Anesthesiologist Faculty - Open Rank,https://mcw.wd503.myworkdayjobs.com/ExternalCareers/job/Milwaukee-WI/Pediatric-Anesthesiologist---Faculty-Open-Rank_JR100479,,,true,,,,
AT-136,unclassified-medical,unclassified,none,Augusta University,"Open Rank Dentistry Faculty, DCG-Restorative Sciences",https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=302632&PostingSeq=1,,,true,,,,
AT-137,unclassified-medical,unclassified,none,Medical College of Wisconsin,Neurologist - Assistant Professor,https://mcw.wd503.myworkdayjobs.com/ExternalCareers/job/West-Bend-WI/Assistant-Professor---Neurology--General-_JR100423,,,true,,,,
AT-138,unclassified-medical,unclassified,none,University of Chicago,Comprehensive Gynecology Faculty - #OBG100,https://academicjobs.uchicago.edu/positions/184772,,,true,,,,
AT-139,unclassified-medical,unclassified,none,University of Texas at Austin,Pharmacy Experiential Programs: Galveston Houston Regional Faculty Opening,https://faculty.utexas.edu/career/182044,,,true,,,,
AT-140,unclassified-medical,unclassified,none,The University of Texas Medical Branch at Galveston,"Professor, Surgery-Plastic Surgery",https://applyjobs.utmb.edu/jobs/professor-surgery-plastic-surgery-35739,,,true,,,,
AT-141,unclassified-general,unclassified,none,University of Rochester,Assistant Professor/ Associate Professor/ Professor- REI,https://apply.interfolio.com/180390,,,false,,,,
AT-142,unclassified-general,unclassified,none,Morgan State University,Physical Scientist Faculty Position,https://morgan.peopleadmin.com/postings/8822,,,false,,,,
AT-143,unclassified-general,unclassified,none,University of West Alabama,Athletic Trainer Faculty- Rank Open (Multiple Positions),https://apply.interfolio.com/185758,,,false,,,,
AT-144,unclassified-general,unclassified,none,Franklin College,Assistant Professor of Athletic Training,https://franklincollege.edu/wp-content/uploads/2026/09/Job-2026-Assistant-Professor-of-Athletic-Training.pdf,,,false,,,,
AT-145,unclassified-general,unclassified,none,Nicholls State University,Instructor/Assistant/Associate Professor in Sales and Marketing,https://jobs.nicholls.edu/postings/10452,,,false,,,,
AT-146,unclassified-general,unclassified,none,Calvin University,Assistant Professor - Business Analytics,https://calvin.wd5.myworkdayjobs.com/CalvinUniversityCareers/job/Grand-Rapids-Campus/Assistant-Professor---Business-Analytics_R-4518,,,false,,,,
AT-147,unclassified-general,unclassified,none,York University,"Faculty Position for Accounting, Finance, or Agribusiness",https://www.york.edu/about/employment.php#applications,,,false,,,,
AT-148,unclassified-general,unclassified,none,Oakwood University,"Assistant/Associate/Professor of Education Huntsville, AL Full Time",https://oakwood.edu/job/assistant-associate-professor-of-education,,,false,,,,
AT-149,unclassified-general,unclassified,none,University of California-San Diego,Assistant Professor in Fusion Energy Engineering - UC San Diego,https://apol-recruit.ucsd.edu/JPF04658,,,false,,,,
AT-150,unclassified-general,unclassified,none,University of Richmond,Tyler Haynes Professorship,https://richmond.wd5.myworkdayjobs.com/staff_faculty/job/UR-Main-Campus/Tyler-Haynes-Professorship_JR100574,,,false,,,,
AT-151,unclassified-general,unclassified,none,High Point University,"Assistant/Associate Professor, Electrical and Computer Engineering",https://highpoint.wd503.myworkdayjobs.com/Highpoint-Faculty/job/High-Point-University/Assistant-Associate-Professor--Electrical-and-Computer-Engineering_R0008849,,,false,,,,
AT-152,unclassified-general,unclassified,none,Morrison Institute of Technology,Instructor - Engineering Technology; Automation (F/T or P/T),https://www.morrisontech.edu/employment,,,false,,,,
AT-153,unclassified-general,unclassified,none,Clayton State University,Assistant Professor of Biology,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=302473&PostingSeq=1,,,false,,,,
AT-154,unclassified-general,unclassified,none,Hudson Valley Community College,Instructor – Sociology HV-FAC-Sociology SP27,https://www.hvcc.edu/hr/employment-opportunities.html#op-707955-instructor--sociology-hvfacsociology-sp27,,,false,,,,
AT-155,unclassified-general,unclassified,none,Northeastern State University,F99911 Assistant Professor of English,https://nsuok.csod.com/ux/ats/careersite/4/home/requisition/5732?c=nsuok,,,false,,,,
AT-156,unclassified-general,unclassified,none,Gulf Coast State College,"Faculty, Mathematics – 9 months",https://www.schooljobs.com/careers/gulfcoast/jobs/5466790/faculty-mathematics-9-months,,,false,,,,
AT-157,unclassified-general,unclassified,none,Mississippi College,Assistant/Associate Professor (with an Exercise Science emphasis) - Department of Kinesiology,https://www.mc.edu/offices/human-resources/employment?rID[32]=455,,,false,,,,
AT-158,unclassified-general,unclassified,none,Andrews University,Faculty - Accounting,https://www.andrews.edu/admres/jobs/show/faculty#job_4024,,,false,,,,
AT-159,unclassified-general,unclassified,none,Kansas State University,Dean of the Graduate School,https://careers.k-state.edu/jobs/dean-of-the-graduate-school-manhattan-kansas-united-states,,,false,,,,
AT-160,unclassified-general,unclassified,none,Barton County Community College,Instructor & Coordinator (Electrical Technology),https://bartonccc.agilehr.com/careers/JobDetail?RequisitionId=80115&SourceId=0,,,false,,,,
AT-161,explicit-tenure-control,tenure-track,description-explicit,UCLA,Assistant Professor of Art/Sculpture,https://recruit.apo.ucla.edu/JPF11274,,,false,,,,
AT-162,explicit-tenure-control,tenure-track,description-explicit,William & Mary,Assistant Professor of English (Anglophone Literatures of Modernity and Modernism),https://williammary.wd12.myworkdayjobs.com/WM/job/Posting-Location---William--Mary/Assistant-Professor-of-English--Anglophone-Literatures-of-Modernity-and-Modernism-_JR102068,,,false,,,,
AT-163,explicit-tenure-control,tenure-track,description-explicit,University of Mississippi,Assistant/Associate Professor of Counselor Education,https://olemiss.wd12.myworkdayjobs.com/External__Faculty/job/University-MS/Assistant-Associate-Professor-of-Counselor-Education_JR103082,,,false,,,,
AT-164,explicit-tenure-control,tenure-track,description-explicit,University of Alaska Anchorage,Assistant Professor of Psychology,https://careers.alaska.edu/jobs/assistant-professor-of-psychology-anchorage-alaska-united-states,,,false,,,,
AT-165,explicit-tenure-control,tenure-track,description-explicit,James Madison University,Assistant Professor – Department of Economics,https://jobs.jmu.edu/jobs/assistant-professor-department-of-economics-harrisonburg-virginia-united-states,,,false,,,,
AT-166,explicit-tenure-control,tenure-track,description-explicit,Mount Holyoke College,Assistant Professor of Politics,https://mtholyoke.wd504.myworkdayjobs.com/External/job/Mount-Holyoke-College---Main-Campus/Assistant-Professor-of-Politics_R-0000003578,,,false,,,,
AT-167,explicit-tenure-control,tenure-track,description-explicit,University at Buffalo,"Empire Innovation Professor, Quantum Computing",https://www.ubjobs.buffalo.edu/postings/59623,,,false,,,,
AT-168,explicit-tenure-control,tenure-track,description-explicit,George Washington University,"Assistant Professor, International Education",https://www.gwu.jobs/postings/128719,,,false,,,,
AT-169,explicit-tenure-control,tenure-track,description-explicit,Connecticut State Community College,Assistant Professor/PC Medical Office Assisting Program,https://ctstatecommunitycollege.applytojob.com/apply/xnU2PiYHCV/Assistant-ProfessorPC-Medical-Office-Assisting-Program,,,true,,,,
AT-170,explicit-tenure-control,tenure-track,title-explicit,Indiana University-Bloomington,Tenured Faculty Position in Quantum Sensing at Indiana University,https://indiana.peopleadmin.com/postings/34336,,,false,,,,
AT-171,explicit-tenure-control,tenure-track,title-explicit,Alvernia University,"Assistant Professor of Finance, Tenure Track, Header School of Business",https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=1b9ea04c-142e-4aa7-8d21-45439ca5b76b&ccId=19000101_000001&lang=en_US&selectedMenuKey=CareerCenter&jobId=578080,,,false,,,,
AT-172,explicit-tenure-control,tenure-track,title-explicit,Salem State University,"Faculty: Media & Communication, (Generalist), Full-Time, Tenure-Track",https://salem-state-university.career-pages.com/jobs/faculty-media-communication-generalist-full-time-tenure-track,,,false,,,,
AT-173,explicit-tenure-control,tenure-track,description-explicit,University of Alaska Anchorage,Assistant Professor of Accounting,https://careers.alaska.edu/jobs/assistant-professor-of-accounting-anchorage-alaska-united-states-adeac105-4b5c-46c0-8b95-eb29bedcecc7,,,false,,,,
AT-174,explicit-tenure-control,tenure-track,description-explicit,University of North Florida,"Assistant Professor, Mechanical Engineering",https://unf.wd5.myworkdayjobs.com/unfjobs/job/Jacksonville-FL/Assistant-Professor--Mechanical-Engineering_JR102788,,,false,,,,
AT-175,explicit-tenure-control,tenure-track,description-explicit,University of North Texas,Assistant Professor of Semiconductors,https://careers.untsystem.edu/jobs/assistant-professor-of-semiconductors-denton-texas-united-states,,,false,,,,
AT-176,explicit-tenure-control,tenure-track,description-explicit,Indiana Institute of Technology,Artificial Intelligence Faculty,https://www.paycomonline.net/v4/ats/web.php/portal/9B7DD7DDF4B46DE388E0D590C86BBE1D/jobs/273223,,,false,,,,
AT-177,explicit-tenure-control,tenure-track,description-explicit,University of Kentucky,"Assistant or Associate Professor of Exercise Science, Regular Title Series",https://ukjobs.uky.edu/postings/648526,,,false,,,,
AT-178,explicit-tenure-control,tenure-track,description-explicit,Temple University,Full/Associate/Assistant Professor Organic Chemistry,https://temple.taleo.net/careersection/tu_ex_faculty/jobdetail.ftl?job=23003804&tz=GMT%2B00%3A00&tzname=UTC,,,false,,,,
AT-179,explicit-tenure-control,tenure-track,title-explicit,Abilene Christian University-Undergraduate Online,Open Rank Professor - Organizational Behavior and Management (Tenure-Track),https://acu.wd108.myworkdayjobs.com/ACUCareers/job/Abilene-Texas/Organizational-Behavior-and-Management---Open-Rank-Tenure-Track-Faculty-Position_JR100881,,,false,,,,
AT-180,explicit-tenure-control,tenure-track,description-explicit,New Mexico State University,"Assistant Professor, Ethnic Studies and Chicana/o Studies",https://careers.nmsu.edu/jobs/assistant-professor-ethnic-studies-and-chicana-o-studies-las-cruces-new-mexico-united-states,,,false,,,,
AT-181,explicit-non-tenure-control,non-tenure-track,title-rank,St Petersburg College,Adjunct Faculty - Political Science,https://spchrs.spcollege.edu/psc/GUEST/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=1000545&PostingSeq=1,,,false,,,,
AT-182,explicit-non-tenure-control,non-tenure-track,title-rank,Houston Christian University,Information Systems Adjunct,https://hc.edu/about-hcu/campus-resources/job-opportunities?marvel-activate=false&jobId=ddb9f7f5-fa21-df5f-6a94-a5e410e1c111,,,false,,,,
AT-183,explicit-non-tenure-control,non-tenure-track,description-explicit,University of Alabama at Birmingham,School of Medicine-Assistant Professor-Montgomery Regional Campus,https://uab.peopleadmin.com/postings/25832,,,true,,,,
AT-184,explicit-non-tenure-control,non-tenure-track,title-rank,Duquesne University,"Adjunct Faculty Position Department of Health, Exercise & Applied Science",https://apply.interfolio.com/175358,,,true,,,,
AT-185,explicit-non-tenure-control,non-tenure-track,title-rank,Northeastern University,Postdoctoral Research Associate,https://northeastern.wd1.myworkdayjobs.com/careers/job/Boston-MA-Main-Campus/Postdoctoral-Research-Associate_R126193,,,false,,,,
AT-186,explicit-non-tenure-control,non-tenure-track,title-rank,Fresno Pacific University,"Adjunct Faculty in Art1717 S Chestnut Ave, Fresno",https://www.governmentjobs.com/careers/fresnoedu/jobs/5023249/adjunct-faculty-in-art?visitor=cd6a4360-7109-4dea-b64e-fc691a2d0ea9&session=cc62d60a-1cf8-4904-8b3e-0922877d9862,,,false,,,,
AT-187,explicit-non-tenure-control,non-tenure-track,title-rank,Southern Crescent Technical College,"Adj. Instructor, Culinary Arts (Endowment-supported)",https://careers.georgia.gov/adj-instructor-culinary-arts-endowment-supported,,,false,,,,
AT-188,explicit-non-tenure-control,non-tenure-track,title-rank,Ivy Tech Community College,Adjunct Faculty - Ivy+ Career Link,https://ivytech.wd1.myworkdayjobs.com/Ivy_Tech_Careers/job/Columbus-IN/Adjunct-Faculty---Ivy--Career-Link_JR0000109498,,,false,,,,
AT-189,explicit-non-tenure-control,non-tenure-track,title-rank,Mississippi University for Women,Adjunct Instructors of Nutrition (Pool for Culinary Arts Institute),https://muw.peopleadmin.com/postings/6587,,,false,,,,
AT-190,explicit-non-tenure-control,non-tenure-track,title-rank,Azusa Pacific University,Adjunct Faculty Dance - Department of Theater Arts,https://jobs.apu.edu/job-detail.cfm?id=1061,,,false,,,,
AT-191,explicit-non-tenure-control,non-tenure-track,title-rank,Alvin Community College,"Adjunct, Computer Networking",https://www.schooljobs.com/careers/alvincollege/jobs/5464042/adjunct-computer-networking,,,false,,,,
AT-192,explicit-non-tenure-control,non-tenure-track,title-rank,Cuyahoga Community College District,"Adjunct Faculty, Anthropology",https://tri-c.csod.com/ux/ats/careersite/10/home/requisition/6986?c=tri-c,,,false,,,,
AT-193,explicit-non-tenure-control,non-tenure-track,title-rank,Weatherford College,Adjunct Instructor- Information Technology [Wise County Campus],https://jobs.wc.edu/postings/6896,,,false,,,,
AT-194,explicit-non-tenure-control,non-tenure-track,title-rank,Piedmont Technical College,"CVT Noninvasive Adjunct Instructor ""Pool""",https://www.governmentjobs.com/careers/sc/ptc/jobs/5412688/cvt-noninvasive-adjunct-instructor-pool,,,false,,,,
AT-195,explicit-non-tenure-control,non-tenure-track,description-direct-claim,Southeastern Illinois College,Phlebotomy Instructor,https://sic.edu/employment/phlebotomy-instructor,,,false,,,,
AT-196,explicit-non-tenure-control,non-tenure-track,title-explicit,Montana State University,Librarian/Instructor Non-Tenure Track Faculty (Applicant Pool),https://jobs.montana.edu/postings/49966,,,false,,,,
AT-197,explicit-non-tenure-control,non-tenure-track,title-rank,College of the Mainland,Adjunct Philosophy Instructor,https://jobs.com.edu/postings/4509,,,false,,,,
AT-198,explicit-non-tenure-control,non-tenure-track,title-rank,Villanova University,Adjunct Faculty - Department of Humanities,https://jobs.villanova.edu/postings/33429,,,false,,,,
AT-199,explicit-non-tenure-control,non-tenure-track,title-rank,SUNY Onondaga Community College,Anthropology Adjunct Faculty,https://sunyocc.interviewexchange.com/jobofferdetails.jsp?JOBID=197601,,,false,,,,
AT-200,explicit-non-tenure-control,non-tenure-track,title-rank,St Petersburg College,Adjunct Faculty - Health Services Administration,https://spchrs.spcollege.edu/psc/GUEST/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=1000348&PostingSeq=1,,,true,,,,
